일시,FL1
2025-01-01 00:00:00,0.0
2025-01-01 00:30:00,0.0
2025-01-01 01:00:00,0.0
2025-01-01 01:30:00,0.0
2025-01-01 02:00:00,0.0
2025-01-01 02:30:00,0.0
2025-01-01 03:00:00,0.0
2025-01-01 03:30:00,0.0
2025-01-01 04:00:00,0.0
2025-01-01 04:30:00,0.0
2025-01-01 05:00:00,0.0
2025-01-01 05:30:00,0.0
2025-01-01 06:00:00,0.0
2025-01-01 06:30:00,0.0
2025-01-01 07:00:00,0.0
2025-01-01 07:30:00,0.0
2025-01-01 08:00:00,0.0
2025-01-01 08:30:00,0.0
2025-01-01 09:00:00,0.0
2025-01-01 09:30:00,0.0
2025-01-01 10:00:00,0.0
2025-01-01 10:30:00,0.0
2025-01-01 11:00:00,0.0
2025-01-01 11:30:00,0.0
2025-01-01 12:00:00,111105.0
2025-01-01 12:30:00,183802.0
2025-01-01 13:00:00,190666.0
2025-01-01 13:30:00,194325.0
2025-01-01 14:00:00,209895.0
2025-01-01 14:30:00,253273.0
2025-01-01 15:00:00,333469.0
2025-01-01 15:30:00,439862.0
2025-01-01 16:00:00,600321.0
2025-01-01 16:30:00,742902.0
2025-01-01 17:00:00,904411.0
2025-01-01 17:30:00,1204744.0
2025-01-01 18:00:00,1220535.0
2025-01-01 18:30:00,1210963.0
2025-01-01 19:00:00,1206703.0
2025-01-01 19:30:00,1191102.0
2025-01-01 20:00:00,1195505.0
2025-01-01 20:30:00,1192230.0
2025-01-01 21:00:00,1189689.0
2025-01-01 21:30:00,1186488.0
2025-01-01 22:00:00,1186629.0
2025-01-01 22:30:00,1183080.0
2025-01-01 23:00:00,1193300.0
2025-01-01 23:30:00,1189609.0
2025-01-02 00:00:00,1186173.0
2025-01-02 00:30:00,1177081.0
2025-01-02 01:00:00,1176261.0
2025-01-02 01:30:00,1157586.0
2025-01-02 02:00:00,1102946.0
2025-01-02 02:30:00,1129817.0
2025-01-02 03:00:00,1165083.0
2025-01-02 03:30:00,1187830.0
2025-01-02 04:00:00,1187063.0
2025-01-02 04:30:00,1185192.0
2025-01-02 05:00:00,1189526.0
2025-01-02 05:30:00,1195669.0
2025-01-02 06:00:00,1197786.0
2025-01-02 06:30:00,1195188.0
2025-01-02 07:00:00,1189922.0
2025-01-02 07:30:00,1188426.0
2025-01-02 08:00:00,1182929.0
2025-01-02 08:30:00,1187603.0
2025-01-02 09:00:00,1187380.0
2025-01-02 09:30:00,1192978.0
2025-01-02 10:00:00,1078946.0
2025-01-02 10:30:00,1015387.0
2025-01-02 11:00:00,1028065.0
2025-01-02 11:30:00,1015829.0
2025-01-02 12:00:00,1016212.0
2025-01-02 12:30:00,1012808.0
2025-01-02 13:00:00,1018454.0
2025-01-02 13:30:00,947763.0
2025-01-02 14:00:00,880664.0
2025-01-02 14:30:00,993640.0
2025-01-02 15:00:00,1013938.0
2025-01-02 15:30:00,1011321.0
2025-01-02 16:00:00,1002960.0
2025-01-02 16:30:00,1003346.0
2025-01-02 17:00:00,1003513.0
2025-01-02 17:30:00,1005398.0
2025-01-02 18:00:00,1004677.0
2025-01-02 18:30:00,1006094.0
2025-01-02 19:00:00,1005798.0
2025-01-02 19:30:00,1006627.0
2025-01-02 20:00:00,1006748.0
2025-01-02 20:30:00,1003585.0
2025-01-02 21:00:00,1005758.0
2025-01-02 21:30:00,1002394.0
2025-01-02 22:00:00,1011294.0
2025-01-02 22:30:00,1010603.0
2025-01-02 23:00:00,1011784.0
2025-01-02 23:30:00,1008430.0
2025-01-03 00:00:00,1003323.0
2025-01-03 00:30:00,998449.0
2025-01-03 01:00:00,1001825.0
2025-01-03 01:30:00,1001287.0
2025-01-03 02:00:00,1010054.0
2025-01-03 02:30:00,1007907.0
2025-01-03 03:00:00,1009197.0
2025-01-03 03:30:00,1006973.0
2025-01-03 04:00:00,1009986.0
2025-01-03 04:30:00,1007434.0
2025-01-03 05:00:00,1012336.0
2025-01-03 05:30:00,1013356.0
2025-01-03 06:00:00,1023605.0
2025-01-03 06:30:00,1028251.0
2025-01-03 07:00:00,1027115.0
2025-01-03 07:30:00,1024588.0
2025-01-03 08:00:00,1024386.0
2025-01-03 08:30:00,1017290.0
2025-01-03 09:00:00,1012744.0
2025-01-03 09:30:00,1011408.0
2025-01-03 10:00:00,1024149.0
2025-01-03 10:30:00,1024961.0
2025-01-03 11:00:00,1025369.0
2025-01-03 11:30:00,1015891.0
2025-01-03 12:00:00,1013968.0
2025-01-03 12:30:00,1014844.0
2025-01-03 13:00:00,1019767.0
2025-01-03 13:30:00,903284.0
2025-01-03 14:00:00,943599.0
2025-01-03 14:30:00,1026140.0
2025-01-03 15:00:00,1017937.0
2025-01-03 15:30:00,1014611.0
2025-01-03 16:00:00,1004742.0
2025-01-03 16:30:00,1001221.0
2025-01-03 17:00:00,1003452.0
2025-01-03 17:30:00,1001891.0
2025-01-03 18:00:00,997642.0
2025-01-03 18:30:00,1003110.0
2025-01-03 19:00:00,1002422.0
2025-01-03 19:30:00,1003454.0
2025-01-03 20:00:00,1004863.0
2025-01-03 20:30:00,1003369.0
